ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpcom_is_markdown,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: subtitle,Meta: _subtitle,Meta: informacao_nutricional,Meta: _informacao_nutricional,Meta: modo_de_preparacao,Meta: _modo_de_preparacao,Meta: conservacao,Meta: _conservacao,Meta: outros,Meta: _outros,Meta: icons_0_icon_image,Meta: _icons_0_icon_image,Meta: icons_1_icon_image,Meta: _icons_1_icon_image,Meta: icons_2_icon_image,Meta: _icons_2_icon_image,Meta: icons_3_icon_image,Meta: _icons_3_icon_image,Meta: icons_4_icon_image,Meta: _icons_4_icon_image,Meta: icons_5_icon_image,Meta: _icons_5_icon_image,Meta: icons_6_icon_image,Meta: _icons_6_icon_image,Meta: icons,Meta: _icons,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
,simple,300120,Salsichas Soja,1,0,visible,"As Salsichas Soja trazem mais sabor a qualquer prato. Sem albumina de ovo, são vegan e têm base de soja com vegetais, aromas e especiarias. Sem corantes e sem conservantes, 100% origem vegetal, as Salsichas Soja têm alto teor em proteína e são uma solução super conveniente que pode ser incorporadas em pratos mais simples – como um pequeno-almoço de salsichas com ovos – ou em pratos mais robustos. Mais sabor para todas as refeições e para toda a família - delicia-te com a nossas Salsichas Soja Izidoro Veggie Lovers!","Ingredientes: Água, óleo de girassol, proteína isolada de SOJA, azeite, proteína de batata, cebola frita [cebola, óleo de palma, farinha de trigo (isento glúten) e sal], sal, vegetais, especiarias (contém AIPO), intensificadores de sabor (glutamato monossódico) e aroma de fumo.",,,taxable,,1,,,0,0,,,,,1,,,  3.95 ,IZIDORO VEGGIE LOVERS,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300120.png,,,,,,,,,0,1,Gama,VEGGIE,1,1,Espécie,Vegan,1,1,Tipo de Produto,Salsichas,1,1,5un 245g,,"Energia (100g) 931KJ/224KCAL\n Energia (por porção) 456KJ / 110KCAL\n Lípidos (100g) 18\n Lípidos (por porção) 8.8\n Dos quais saturados (100g) 2.4\n Dos quais saturados (por porção) 1.2\n Hidratos de Carbono (100g) 0.6\n Hidratos de Carbono (por porção) < 0,5\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n Fibra (100g) < 0,5\n Fibra (por porção) < 0,5\n Proteínas (100g) 15\n Proteínas (por porção) 7.4\n Sal (100g) 2\n Sal (por porção) 1",,,,,,Certificação V-Label; Vegan,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,300415,Salsichas Porco Frankfurt,1,0,visible,"Um clássico que não sai de moda.
Sem ideias para um pequeno-almoço, lanche, snack, almoço, jantar? As nossas Salsichas Frankfurt em versão Aves são aquele clássico que nunca falha, não podem é faltar na despensa. Super versáteis para qualquer hora do dia, que dão para petiscar diretamente da lata ou para fazer um brilharete quando estás sem tempo. Desde massas ou omeletes a wraps e saladas, asSalsichas Frankfurt vão ser as tuas melhores amigas para uma refeição onde sabor e conveniência são a palavra de ordem! Estás sem imaginação e queres sair da rotina? Inspira-te nas nossas receitas!","Ingredientes: Carne de suíno (Origem Portugal), água, carne separada mecanicamente de aves e de suíno, amido, proteína de SOJA, couratos, sal, gordura de suíno, fibra vegetal, especiarias (contém AIPO), emulsionantes (difosfatos), aromas de fumo, antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).",,,taxable,,1,,,0,0,,,,,1,,,  1.55 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300415.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Porco e Aves,1,1,Tipo de Produto,Salsichas,1,1,10un 250g,,"Energia (100g) 589KJ/142KCAL\n Energia (por porção) 147KJ / 35KCAL\n Lípidos (100g) 10\n Lípidos (por porção) 2.6\n Dos quais saturados (100g) 3.8\n Dos quais saturados (por porção) 1\n Hidratos de Carbono (100g) 3.5\n Hidratos de Carbono (por porção) 0.9\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 8.7\n Proteínas (por porção) 2.2\n Sal (100g) 1.7\n Sal (por porção) 0.43",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,300419,Salsichas Porco Bockwurst,1,0,visible,"Receita alemã, com cunho bem português.
A nossa receita mais tradicional do tipo Bockwurst, ideal para aquecer ou grelhar e acompanhar com mostarda. Podes também confecionar com todo o tipo de massas, wraps ou acompanhar com ovos mexidos, para um pequeno-almoço bem português. Uma opção rápida de fazer, e ainda mais rápida de devorar. Estás sem ideias? Inspira-te nas nossas receitas!","Ingredientes: Carne de suíno (Origem Portugal), carne separada mecanicamente de aves e suíno, água, amido, couratos, sal, proteína de SOJA, fibra vegetal, dextrose, gordura de suíno e aves, emulsionantes (trifosfatos), especiarias, antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).",,,taxable,,1,,,0,0,,,,,1,,,  2.65 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300419.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Porco e Aves,1,1,Tipo de Produto,Salsichas,1,1,5un 245g,,"Energia (100g) 554KJ / 133KCAL\n Energia (por porção) 277KJ / 66KCAL\n Lípidos (100g) 8.9\n Lípidos (por porção) 4.5\n Dos quais saturados (100g) 3.3\n Dos quais saturados (por porção) 1.7\n Hidratos de Carbono (100g) 4.7\n Hidratos de Carbono (por porção) 2.4\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 8.9\n Proteínas (por porção) 4.3\n Sal (100g) 1.6\n Sal (por porção) 0.8",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,300609,Salsichas Cocktail Porco,1,0,visible,"Para partilhar ou ao menos tentar.
As nossas Salsichas Cocktail são ideais para petiscar, fazer um snack a meio do dia, ou para quando queres impressionar os amigos e a família com uma entrada ou um apertivo 5 estrelas. Inspira-te nas nossas receitas para fazeres um brilharete de forma rápida, fácil e com todo o sabor. E há miúdos por perto? Esta versão ""mini"" também é excelente como opção para os mais pequenos!","Ingredientes: Carne de suíno (Origem Portugal), água, proteína de SOJA, sal, dextrose, especiarias (contem AIPO), emulsionantes (trifosfatos, difosfatos e polifosfatos), intensificador de sabor (glutamato monossódico), antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).",,,taxable,,1,,,0,0,,,,,1,,,  1.99 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300609.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Porco e Aves,1,1,Tipo de Produto,Salsichas,1,1,170g,,"Energia (100g) 813KJ/196KCAL\n Energia (por porção) 65KJ / 16KCAL\n Lípidos (100g) 16\n Lípidos (por porção) 1.3\n Dos quais saturados (100g) 6.4\n Dos quais saturados (por porção) 0.5\n Hidratos de Carbono (100g) 0.8\n Hidratos de Carbono (por porção) < 0,5\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 12\n Proteínas (por porção) 1\n Sal (100g) 1.8\n Sal (por porção) 0.14",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,300795,Salsichas Aves,1,0,visible,"Tanto sabor que voam do prato.
A nossa receita mais tradicional do tipo Bockwurst mas em vertente Aves, ideal para aquecer ou grelhar e acompanhar com mostarda. Podes também confecionar com todo o tipo de massas, wraps ou acompanhar com ovos mexidos, para um pequeno-almoço bem português. Uma opção rápida de fazer, e ainda mais rápida de devorar. Estás sem ideias? Inspira-te nas nossas receitas!","INGREDIENTES: Carne separada mecanicamente de aves (origem UE) , água, carne de aves,  proteína de SOJA, amido, sal, emulsionante (trifosfato), dextrose, especiarias, intensificador de sabor (glutamato monossódico), antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).  ",,,taxable,,1,,,0,0,,,,,1,,,  2.65 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300795.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Aves,1,1,Tipo de Produto,Salsichas,1,1,5un 245g,,"Energia (100g) 568KJ / 139KCAL\n Energia (por porção) 284KJ / 70KCAL\n Lípidos (100g) 9\n Lípidos (por porção) 4.5\n Dos quais saturados (100g) 3\n Dos quais saturados (por porção) 1.5\n Hidratos de Carbono (100g) 2.5\n Hidratos de Carbono (por porção) 1.3\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 12\n Proteínas (por porção) 6\n Sal (100g) 1.3\n Sal (por porção) 0.65",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,300881,Salsichas Porco Hot Dog ,1,0,visible,"Um HotDog de grande calibre.
A escolha com o calibre certo para o melhor cachorro quente. Aquece a salsicha, prepara o pão e escolhe os teus acompanhamentos e molhos favoritos para um snack ou uma refeição ligeira, rápida e carregada de sabor.","Ingredientes: Carne de suíno (Origem: Portugal), carne separada mecanicamente de aves e suíno, água, amido, couratos, sal, proteína de SOJA, fibra vegetal, dextrose, gordura de suíno e aves, emulsionantes (trifosfatos), especiarias, antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).",,,taxable,,1,,,0,0,,,,,1,,,  2.65 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/300881.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Porco e Aves,1,1,Tipo de Produto,Salsichas,1,1,4un 235g,,"Energia (100g) 554KJ / 133KCAL\n Energia (por porção) 332KJ / 80KCAL\n Lípidos (100g) 8.9\n Lípidos (por porção) 5.3\n Dos quais saturados (100g) 3.3\n Dos quais saturados (por porção) 2\n Hidratos de Carbono (100g) 4.7\n Hidratos de Carbono (por porção) 2.8\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 8.5\n Proteínas (por porção) 5.1\n Sal (100g) 16\n Sal (por porção) 1",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,301889,Salsichas Aves,1,0,visible,"Tanto sabor que voam do prato.
Sem ideias para um pequeno-almoço, lanche, snack, almoço, jantar? As nossas Salsichas Frankfurt em versão Aves são aquele clássico que nunca falha, não podem é faltar na despensa. Super versáteis para qualquer hora do dia, que dão para petiscar diretamente da lata ou para fazer um brilharete quando estás sem tempo. Desde massas ou omeletes a wraps e saladas, asSalsichas Frankfurt vão ser as tuas melhores amigas para uma refeição onde sabor e conveniência são a palavra de ordem! Estás sem imaginação e queres sair da rotina? Inspira-te nas nossas receitas!","INGREDIENTES: Carne separada mecanicamente de aves (origem UE) , água, carne de aves,  proteína de SOJA, amido, sal, emulsionante (trifosfato), dextrose, especiarias, intensificador de sabor (glutamato monossódico), antioxidante (eritorbato de sódio) e conservante (nitrito de sódio).  ",,,taxable,,1,,,0,0,,,,,1,,,  1.45 ,IZIDORO O MERCEEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/301889.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Aves,1,1,Tipo de Produto,Salsichas,1,1,8un 200g,,"Energia (100g) 568KJ / 139KCAL\n Energia (por porção) 284KJ / 70KCAL\n Lípidos (100g) 9\n Lípidos (por porção) 4.5\n Dos quais saturados (100g) 3\n Dos quais saturados (por porção) 1.5\n Hidratos de Carbono (100g) 2.5\n Hidratos de Carbono (por porção) 1.3\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 12\n Proteínas (por porção) 6\n Sal (100g) 1.3\n Sal (por porção) 0.65",,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,305848,Salsichas Soja,1,0,visible,"As Salsichas Soja trazem mais sabor a qualquer prato. Sem albumina de ovo, são vegan e têm base de soja com vegetais, aromas e especiarias. Sem corantes e sem conservantes, 100% origem vegetal, as Salsichas Soja têm alto teor em proteína e são uma solução super conveniente que pode ser incorporadas em pratos mais simples – como um pequeno-almoço de salsichas com ovos – ou em pratos mais robustos. Mais sabor para todas as refeições e para toda a família - delicia-te com a nossas Salsichas Soja Izidoro Veggie Lovers!","Ingredientes: Água, óleo de girassol, proteína isolada de SOJA, azeite, proteína de batata, cebola frita [cebola, óleo de palma, farinha de trigo (isento glúten) e sal], sal, vegetais, especiarias (contém AIPO), intensificadores de sabor (glutamato monossódico) e aroma de fumo.",,,taxable,,1,,,0,0,,,,,1,,,  2.09 ,IZIDORO VEGGIE LOVERS,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/305848.png,,,,,,,,,0,1,Gama,VEGGIE,1,1,Espécie,Vegan,1,1,Tipo de Produto,Salsichas,1,1,8un 180g,,"Energia (100g) 931KJ/224KCAL\n Energia (por porção) 210KJ / 50KCAL\n Lípidos (100g) 18\n Lípidos (por porção) 4.1\n Dos quais saturados (100g) 2.4\n Dos quais saturados (por porção) 0.5\n Hidratos de Carbono (100g) 0.6\n Hidratos de Carbono (por porção) < 0,5\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 15\n Proteínas (por porção) 3.4\n Sal (100g) 2\n Sal (por porção) 0.46",,,,,,Certificação V-Label; Vegan,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,305849,Salsichas Cocktail Soja,1,0,visible,"As Salsichas Soja trazem mais sabor a qualquer prato. Sem albumina de ovo, são vegan e têm base de soja com vegetais, aromas e especiarias. Sem corantes e sem conservantes, 100% origem vegetal, as Salsichas Soja têm alto teor em proteína e são uma solução super conveniente que pode ser incorporadas em pratos mais simples – como um pequeno-almoço de salsichas com ovos – ou em pratos mais robustos. Mais sabor para todas as refeições e para toda a família - delicia-te com a nossas Salsichas Soja Izidoro Veggie Lovers! Para partilhar, ou ao menos tentar, sem sombra de carne.","Ingredientes: Água, óleo de girassol, proteína isolada de SOJA (12%), azeite, proteína de batata, cebola frita [cebola, óleo de palma, farinha de trigo (isento glúten) e sal], sal, vegetais, especiarias (contém AIPO), intensificadores de sabor (glutamato monossódico) e aroma de fumo.",,,taxable,,1,,,0,0,,,,,1,,,  3.49 ,IZIDORO VEGGIE LOVERS,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/305849.png,,,,,,,,,0,1,Gama,VEGGIE,1,1,Espécie,Vegan,1,1,Tipo de Produto,Salsichas,1,1,180g,,"Energia (100g) 931KJ/224KCAL\n Energia (por porção) 73KJ / 18KCAL\n Lípidos (100g) 18\n Lípidos (por porção) 1.4\n Dos quais saturados (100g) 2.4\n Dos quais saturados (por porção) 0.2\n Hidratos de Carbono (100g) 0.6\n Hidratos de Carbono (por porção) < 0,5\n Dos quais açucares (100g) < 0,5\n Dos quais açucares (por porção) < 0,5\n \n \n Proteínas (100g) 15\n Proteínas (por porção) 1.2\n Sal (100g) 2\n Sal (por porção) 0.16",,,,,,Certificação V-Label; Vegan,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
,simple,306199,Churrasco Misto,1,0,visible,"Um churrasco para todos os gostos.
Com Salsicha Fresca, Salsicha Picante, Chouriço e Morcela, o nosso Churrasco Misto é perfeito para um petisco ao ar livre com a família e amigos, ou para confecionar pratos típicos portugueses, carregados de sabor e tradição.","Salsicha Churrasco: Carne de Suíno (83%) (Origem Portugal), água, gordura de súino, regulador de acidez (lactato de potássio), proteína de SOJA, sal, emulsionantes (trifosfatos e difosfatos), açucar, antioxidantes (eritorbato de sódio e citratos de sódio), intensificadores de sabor (glutamato monossódico), especiarias, corante (carmina) e conservantes (acetatos de sódio e nitrito de sódio). Salsicha Picante: Carne de Suíno (83%) (Origem Portugal), água, gordura de súino, regulador de acidez (lactato de potássio), proteína de SOJA, sal, emulsionantes (trifosfatos e difosfatos), açucar, antioxidantes (eritorbato de sódio e citratos de sódio), intensificador de sabor (glutamato monossódico), especiarias, extrato de paprika, piri-piri (0,3%), pimentão picante (0,2%) e conservantes (acetatos de sódio e nitrito de sódio). Chouriço: Carne de Suíno (105g de carne para preparar 100g de chouriço) (Origem Portugal), massa de pimentão (pimento e sal), sal, açucar, oleoresina de pimentão, especiarias, emulsionantes (difosfatos), antioxidante (eritorbato de sódio) e conservante (nitrito de sódio). Tripa não comestível. Morcela: Gordura de Suíno, sangue de suíno, farinha de TRIGO, figado de suíno, couratos, massa de pimentão (pimento e sal), especiarias e sal. Tripa natural de suíno.",,,taxable,,1,,,0,0,,,,,1,,,  3.49 ,IZIDORO O CHARCUTEIRO,,,https://loja.izidoro.pt/wp-content/uploads/2021/05/306199.png,,,,,,,,,0,1,Gama,ORIGINAL,1,1,Espécie,Porco,1,1,Tipo de Produto,Salsichas,1,1,400g,,,,,,,,,field_609f9c50d4bed,106,field_609faed7a882e,99,field_609faed7a882e,100,field_609faed7a882e,101,field_609faed7a882e,102,field_609faed7a882e,103,field_609faed7a882e,98,field_609faed7a882e,7,field_609faec3a882d,,,,
